Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a02Do000007hND0IAM,001Do00000Qrz1EIAR,Valid,FSC-C197663,SCS-COC-702299,COC,PT Mulia Grand Manufacture,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000007hND0IAM/PrintFile?culture=en,
a02f300000jTKAPAA4,001f300001wdzHCAAY,Valid,FSC-C150418,SA-COC-012993,COC,PT Muliaoffset Packindo,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000jTKAPAA4/PrintFile?culture=en,
a024y00000joz5CAAQ,0014y00002C66QkAAJ,Valid,FSC-C166374,BV-COC-166374,COC,PT Muliaprima Packindo,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000joz5CAAQ/PrintFile?culture=en,
a02UV0000057j61YAA,001UV00000DyoouYAB,Valid,FSC-C207100,SCS-COC-700879,COC,PT Mulya Abadi Indocarpentry,Certificate holder,INDONESIA,/api/v1/Certification/a02UV0000057j61YAA/PrintFile?culture=en,
a0240000005sSAnAAM,0014000000PeaPYAAZ,Valid,FSC-C007328,SGSCH-CW/FM-010071,CW/FM,PT Musi Hutan Persada,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sSAnAAM/PrintFile?culture=en,
a02UV0000090tTxYAI,001UV00000LKskxYAD,Valid,FSC-C212540,CU-COC-907750,COC,PT NANKAI INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV0000090tTxYAI/PrintFile?culture=en,
a02UV000001hs2zYAA,001UV000005bbk6YAA,Suspended,FSC-C200522,SCS-COC-700305,COC,PT NEWWICKER INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000001hs2zYAA/PrintFile?culture=en,
a024000000GSu30AAD,0014y00002UO3PlAAL,Valid,FSC-C117781,BV-COC-117781,COC,PT NEXGEN PACKAGING INDONESIA,Site,INDONESIA,/api/v1/Certification/a024000000GSu30AAD/PrintFile?culture=en,
a02UV00000J5yVFYAZ,001UV00000bUBC1YAO,Valid,FSC-C223356,CU-COC-913588,COC,PT NX SHOJI INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000J5yVFYAZ/PrintFile?culture=en,
a024y00000o7Id3AAE,0014y00002j1PLcAAM,Terminated,FSC-C171563,SCS-COC-008737,COC,PT Nagabhuana Aneka Piranti,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000o7Id3AAE/PrintFile?culture=en,
a024y00000o7Id3AAE,0014y00002V6rGGAAZ,Terminated,FSC-C171563,SCS-COC-008737,COC,PT Nagabhuana Aneka Piranti - Factory,Site,INDONESIA,/api/v1/Certification/a024y00000o7Id3AAE/PrintFile?culture=en,
